Date,SGIXST3P Index
2008-01-02,100.00
2008-01-03,100.14
2008-01-04,99.51
2008-01-07,100.05
2008-01-08,99.83
2008-01-09,100.23
2008-01-10,100.23
2008-01-11,100.25
2008-01-14,100.31
2008-01-15,100.28
2008-01-16,100.32
2008-01-17,100.32
2008-01-18,100.35
2008-01-22,100.40
2008-01-23,100.43
2008-01-24,100.43
2008-01-25,100.47
2008-01-28,100.94
2008-01-29,100.95
2008-01-30,100.98
2008-01-31,100.98
2008-02-01,101.00
2008-02-04,101.03
2008-02-05,100.83
2008-02-06,100.81
2008-02-07,101.13
2008-02-08,101.23
2008-02-11,101.25
2008-02-12,101.26
2008-02-13,101.27
2008-02-14,101.27
2008-02-15,101.29
2008-02-19,101.30
2008-02-20,101.34
2008-02-21,101.34
2008-02-22,101.34
2008-02-25,101.37
2008-02-26,101.38
2008-02-27,101.40
2008-02-28,101.40
2008-02-29,101.41
2008-03-03,101.53
2008-03-04,101.56
2008-03-05,101.61
2008-03-06,101.59
2008-03-07,101.62
2008-03-10,101.63
2008-03-11,101.63
2008-03-12,101.70
2008-03-13,101.71
2008-03-14,101.76
2008-03-17,101.87
2008-03-18,101.87
2008-03-19,101.94
2008-03-20,102.25
2008-03-24,102.27
2008-03-25,102.27
2008-03-26,102.29
2008-03-27,102.28
2008-03-28,102.29
2008-03-31,102.36
2008-04-01,102.36
2008-04-02,102.37
2008-04-03,102.39
2008-04-04,102.43
2008-04-07,102.46
2008-04-08,102.51
2008-04-09,102.55
2008-04-10,102.61
2008-04-11,102.67
2008-04-14,102.82
2008-04-15,102.87
2008-04-16,102.90
2008-04-17,102.90
2008-04-18,102.91
2008-04-21,102.92
2008-04-22,102.91
2008-04-23,102.91
2008-04-24,102.92
2008-04-25,102.92
2008-04-28,102.94
2008-04-29,102.94
2008-04-30,102.96
2008-05-01,102.96
2008-05-02,103.00
2008-05-05,103.04
2008-05-06,103.06
2008-05-07,103.10
2008-05-08,103.24
2008-05-09,103.26
2008-05-12,103.28
2008-05-13,103.26
2008-05-14,103.26
2008-05-15,103.29
2008-05-16,103.33
2008-05-19,103.39
2008-05-20,103.42
2008-05-21,103.35
2008-05-22,103.62
2008-05-23,103.68
2008-05-27,103.68
2008-05-28,103.75
2008-05-29,103.76
2008-05-30,103.80
2008-06-02,103.82
2008-06-03,103.87
2008-06-04,103.93
2008-06-05,103.93
2008-06-06,103.94
2008-06-09,104.06
2008-06-10,104.17
2008-06-11,104.13
2008-06-12,104.36
2008-06-13,104.43
2008-06-16,104.47
2008-06-17,104.46
2008-06-18,104.47
2008-06-19,104.48
2008-06-20,104.50
2008-06-23,104.54
2008-06-24,104.63
2008-06-25,104.69
2008-06-26,104.60
2008-06-27,104.71
2008-06-30,104.72
2008-07-01,104.73
2008-07-02,104.77
2008-07-03,105.06
2008-07-07,105.20
2008-07-08,105.20
2008-07-09,105.21
2008-07-10,105.38
2008-07-11,105.37
2008-07-14,105.43
2008-07-15,105.53
2008-07-16,105.56
2008-07-17,105.56
2008-07-18,105.58
2008-07-21,105.61
2008-07-22,105.63
2008-07-23,105.67
2008-07-24,105.67
2008-07-25,105.68
2008-07-28,105.69
2008-07-29,105.76
2008-07-30,105.88
2008-07-31,105.90
2008-08-01,105.93
2008-08-04,106.01
2008-08-05,106.03
2008-08-06,106.11
2008-08-07,106.11
2008-08-08,106.17
2008-08-11,106.17
2008-08-12,106.17
2008-08-13,106.17
2008-08-14,106.17
2008-08-15,106.17
2008-08-18,106.20
2008-08-19,106.20
2008-08-20,106.30
2008-08-21,106.31
2008-08-22,106.33
2008-08-25,106.34
2008-08-26,106.40
2008-08-27,106.44
2008-08-28,106.45
2008-08-29,106.45
2008-09-02,106.50
2008-09-03,106.48
2008-09-04,106.14
2008-09-05,106.50
2008-09-08,106.60
2008-09-09,106.39
2008-09-10,106.77
2008-09-11,106.77
2008-09-12,106.82
2008-09-15,106.81
2008-09-16,106.83
2008-09-17,106.71
2008-09-18,106.88
2008-09-19,107.27
2008-09-22,106.80
2008-09-23,106.89
2008-09-24,107.17
2008-09-25,107.20
2008-09-26,107.28
2008-09-29,106.68
2008-09-30,108.39
2008-10-01,108.49
2008-10-02,108.22
2008-10-03,108.41
2008-10-06,108.27
2008-10-07,107.17
2008-10-08,107.45
2008-10-09,107.09
2008-10-10,108.14
2008-10-13,108.29
2008-10-14,108.71
2008-10-15,109.30
2008-10-16,111.83
2008-10-17,111.50
2008-10-20,112.58
2008-10-21,112.79
2008-10-22,115.15
2008-10-23,116.04
2008-10-24,116.39
2008-10-27,115.52
2008-10-28,119.58
2008-10-29,119.94
2008-10-30,120.31
2008-10-31,120.44
2008-11-03,120.66
2008-11-04,121.22
2008-11-05,121.21
2008-11-06,120.54
2008-11-07,122.48
2008-11-10,122.80
2008-11-11,123.11
2008-11-12,123.02
2008-11-13,124.92
2008-11-14,125.09
2008-11-17,125.38
2008-11-18,126.05
2008-11-19,125.89
2008-11-20,124.56
2008-11-21,126.96
2008-11-24,128.60
2008-11-25,129.89
2008-11-26,130.99
2008-11-28,131.14
2008-12-01,130.79
2008-12-02,132.79
2008-12-03,133.41
2008-12-04,133.49
2008-12-05,133.57
2008-12-08,133.90
2008-12-09,134.09
2008-12-10,134.25
2008-12-11,134.30
2008-12-12,134.72
2008-12-15,134.81
2008-12-16,135.63
2008-12-17,135.77
2008-12-18,136.02
2008-12-19,136.14
2008-12-22,136.24
2008-12-23,136.28
2008-12-24,136.46
2008-12-26,136.49
2008-12-29,136.52
2008-12-30,136.56
2008-12-31,136.60
2009-01-02,136.65
2009-01-05,136.66
2009-01-06,136.62
2009-01-07,136.66
2009-01-08,136.67
2009-01-09,136.70
2009-01-12,136.79
2009-01-13,136.85
2009-01-14,136.88
2009-01-15,136.99
2009-01-16,137.05
2009-01-20,137.00
2009-01-21,137.08
2009-01-22,137.33
2009-01-23,137.40
2009-01-26,137.49
2009-01-27,137.49
2009-01-28,137.60
2009-01-29,137.61
2009-01-30,137.63
2009-02-02,137.71
2009-02-03,137.70
2009-02-04,137.76
2009-02-05,137.78
2009-02-06,137.79
2009-02-09,137.81
2009-02-10,137.75
2009-02-11,137.80
2009-02-12,137.88
2009-02-13,137.94
2009-02-17,137.94
2009-02-18,138.02
2009-02-19,138.07
2009-02-20,138.11
2009-02-23,138.11
2009-02-24,138.24
2009-02-25,138.44
2009-02-26,138.44
2009-02-27,138.47
2009-03-02,138.51
2009-03-03,138.61
2009-03-04,138.64
2009-03-05,138.65
2009-03-06,138.68
2009-03-09,138.74
2009-03-10,138.74
2009-03-11,138.81
2009-03-12,138.81
2009-03-13,138.89
2009-03-16,138.93
2009-03-17,139.00
2009-03-18,139.06
2009-03-19,139.08
2009-03-20,139.11
2009-03-23,139.14
2009-03-24,139.14
2009-03-25,139.16
2009-03-26,139.19
2009-03-27,139.22
2009-03-30,139.26
2009-03-31,139.32
2009-04-01,139.34
2009-04-02,139.34
2009-04-03,139.37
2009-04-06,139.40
2009-04-07,139.36
2009-04-08,139.40
2009-04-09,139.46
2009-04-13,139.47
2009-04-14,139.46
2009-04-15,139.49
2009-04-16,139.49
2009-04-17,139.50
2009-04-20,139.50
2009-04-21,139.55
2009-04-22,139.65
2009-04-23,139.65
2009-04-24,139.66
2009-04-27,139.68
2009-04-28,139.68
2009-04-29,139.70
2009-04-30,139.71
2009-05-01,139.72
2009-05-04,139.74
2009-05-05,139.75
2009-05-06,139.77
2009-05-07,139.75
2009-05-08,139.80
2009-05-11,139.83
2009-05-12,139.84
2009-05-13,139.85
2009-05-14,139.90
2009-05-15,139.94
2009-05-18,139.95
2009-05-19,139.96
2009-05-20,139.97
2009-05-21,139.97
2009-05-22,139.99
2009-05-26,139.99
2009-05-27,140.03
2009-05-28,140.05
2009-05-29,140.11
2009-06-01,140.17
2009-06-02,140.14
2009-06-03,140.15
2009-06-04,140.17
2009-06-05,140.19
2009-06-08,140.25
2009-06-09,140.26
2009-06-10,140.28
2009-06-11,140.30
2009-06-12,140.34
2009-06-15,140.35
2009-06-16,140.38
2009-06-17,140.41
2009-06-18,140.41
2009-06-19,140.43
2009-06-22,140.45
2009-06-23,140.54
2009-06-24,140.60
2009-06-25,140.61
2009-06-26,140.62
2009-06-29,140.63
2009-06-30,140.64
2009-07-01,140.67
2009-07-02,140.68
2009-07-06,140.84
2009-07-07,140.81
2009-07-08,140.87
2009-07-09,140.89
2009-07-10,140.92
2009-07-13,140.92
2009-07-14,140.91
2009-07-15,140.92
2009-07-16,140.93
2009-07-17,140.93
2009-07-20,140.94
2009-07-21,140.94
2009-07-22,140.94
2009-07-23,140.95
2009-07-24,140.95
2009-07-27,140.97
2009-07-28,140.94
2009-07-29,140.96
2009-07-30,140.99
2009-07-31,141.02
2009-08-03,141.06
2009-08-04,141.07
2009-08-05,141.10
2009-08-06,141.15
2009-08-07,141.20
2009-08-10,141.26
2009-08-11,141.28
2009-08-12,141.31
2009-08-13,141.32
2009-08-14,141.34
2009-08-17,141.32
2009-08-18,141.47
2009-08-19,141.55
2009-08-20,141.55
2009-08-21,141.56
2009-08-24,141.57
2009-08-25,141.57
2009-08-26,141.59
2009-08-27,141.61
2009-08-28,141.65
2009-08-31,141.75
2009-09-01,141.74
2009-09-02,141.74
2009-09-03,141.76
2009-09-04,141.79
2009-09-08,141.79
2009-09-09,141.80
2009-09-10,141.81
2009-09-11,141.82
2009-09-14,141.83
2009-09-15,141.85
2009-09-16,141.86
2009-09-17,141.86
2009-09-18,141.87
2009-09-21,141.87
2009-09-22,141.87
2009-09-23,141.87
2009-09-24,141.90
2009-09-25,141.90
2009-09-28,141.96
2009-09-29,141.97
2009-09-30,141.99
2009-10-01,141.86
2009-10-02,142.01
2009-10-05,142.05
2009-10-06,142.05
2009-10-07,142.07
2009-10-08,142.07
2009-10-09,142.09
2009-10-12,142.11
2009-10-13,142.12
2009-10-14,142.13
2009-10-15,142.14
2009-10-16,142.15
2009-10-19,142.18
2009-10-20,142.19
2009-10-21,142.20
2009-10-22,142.21
2009-10-23,142.23
2009-10-26,142.31
2009-10-27,142.31
2009-10-28,142.14
2009-10-29,142.44
2009-10-30,142.53
2009-11-02,142.83
2009-11-03,142.84
2009-11-04,142.88
2009-11-05,142.88
2009-11-06,142.90
2009-11-09,142.91
2009-11-10,142.91
2009-11-11,142.93
2009-11-12,142.94
2009-11-13,142.95
2009-11-16,142.96
2009-11-17,142.95
2009-11-18,142.96
2009-11-19,142.96
2009-11-20,143.00
2009-11-23,143.00
2009-11-24,143.01
2009-11-25,143.03
2009-11-27,143.05
2009-11-30,143.07
2009-12-01,143.08
2009-12-02,143.11
2009-12-03,143.12
2009-12-04,143.13
2009-12-07,143.17
2009-12-08,143.19
2009-12-09,143.20
2009-12-10,143.20
2009-12-11,143.21
2009-12-14,143.26
2009-12-15,143.25
2009-12-16,143.28
2009-12-17,143.28
2009-12-18,143.30
2009-12-21,143.32
2009-12-22,143.31
2009-12-23,143.33
2009-12-24,143.35
2009-12-28,143.36
2009-12-29,143.36
2009-12-30,143.39
2009-12-31,143.40
2010-01-04,143.42
2010-01-05,143.43
2010-01-06,143.48
2010-01-07,143.54
2010-01-08,143.54
2010-01-11,143.55
2010-01-12,143.54
2010-01-13,143.64
2010-01-14,143.65
2010-01-15,143.65
2010-01-19,143.68
2010-01-20,143.81
2010-01-21,143.83
2010-01-22,143.23
2010-01-25,143.64
2010-01-26,143.76
2010-01-27,143.83
2010-01-28,143.80
2010-01-29,143.84
2010-02-01,144.03
2010-02-02,144.05
2010-02-03,144.07
2010-02-04,144.04
2010-02-05,144.08
2010-02-08,144.10
2010-02-09,144.13
2010-02-10,144.18
2010-02-11,144.21
2010-02-12,144.25
2010-02-16,144.25
2010-02-17,144.25
2010-02-18,144.26
2010-02-19,144.28
2010-02-22,144.31
2010-02-23,144.30
2010-02-24,144.38
2010-02-25,144.38
2010-02-26,144.40
2010-03-01,144.41
2010-03-02,144.42
2010-03-03,144.43
2010-03-04,144.44
2010-03-05,144.48
2010-03-08,144.50
2010-03-09,144.52
2010-03-10,144.55
2010-03-11,144.56
